Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
N1,01/09/18,PSV Eindhoven,Willem II,6,1,H,4,0,H,16,6,10,2,8,11,2,3,0,4,0,0,1.2,6.5,13,1.2,7,13.5,1.2,6.4,11.5,1.2,7.19,15.01,1.18,7,12,1.18,7,15,39,1.21,1.19,7.19,6.72,15.25,12.91,32,1.44,1.38,3.1,2.92,20,-2,1.98,1.94,1.95,1.91,1.25,6.12,14.51
N1,01/09/18,VVV Venlo,Heerenveen,1,1,D,0,1,A,19,8,4,4,9,15,4,2,1,1,0,0,2.8,3.4,2.4,2.85,3.4,2.45,2.7,3.3,2.45,2.84,3.43,2.54,2.7,3.4,2.45,2.8,3.5,2.45,40,2.85,2.76,3.55,3.38,2.54,2.45,38,1.88,1.81,2.08,1.98,19,0.25,1.78,1.73,2.19,2.12,3.04,3.53,2.38
N1,02/09/18,Feyenoord,NAC Breda,4,2,H,1,1,D,20,7,8,4,6,12,14,2,1,1,0,0,1.16,7.5,13,1.19,6.75,16,1.17,6.8,14.5,1.16,7.9,19.42,1.12,8,17,1.14,8.5,18,40,1.19,1.16,8.5,7.38,19.5,15.47,34,1.45,1.42,1.9,2.76,21,-2,1.84,1.8,2.1,2.04,1.18,7.94,16.65
N1,02/09/18,Groningen,Zwolle,0,1,A,0,0,D,14,9,2,6,9,19,6,4,3,4,0,0,2.04,3.5,3.4,2.1,3.6,3.4,2.05,3.55,3.25,2.12,3.62,3.41,2.05,3.7,3.2,2.1,3.6,3.4,38,2.13,2.08,3.71,3.54,3.41,3.29,33,1.71,1.64,2.25,2.19,18,-0.25,1.88,1.83,2.08,2.01,1.92,4.08,3.77
N1,02/09/18,Heracles,AZ Alkmaar,3,2,H,1,1,D,23,17,14,8,16,12,5,2,4,2,0,0,5.75,4,1.57,4.75,4.5,1.62,4.4,4.3,1.6,4.75,4.47,1.65,4.4,4.5,1.62,4.8,4.5,1.62,40,5.75,4.7,4.57,4.34,1.67,1.61,34,1.4,1.37,3.1,2.98,21,1,1.88,1.83,2.09,2.01,4.25,4.28,1.78
N1,02/09/18,Vitesse,Ajax,0,4,A,0,3,A,21,16,7,8,14,15,7,5,3,0,0,0,5,4.2,1.6,4.75,4.2,1.65,4.8,4.1,1.6,5.21,4.31,1.62,4.75,4.2,1.62,5.2,4.2,1.62,40,5.21,4.93,4.35,4.13,1.67,1.61,35,1.6,1.56,2.43,2.35,21,1,1.86,1.8,2.12,2.05,5.87,4.65,1.54
N1,15/09/18,Ajax,Groningen,3,0,H,1,0,H,17,7,5,2,6,16,4,2,2,0,0,0,1.14,7.5,17,1.15,8,17.5,1.15,7.4,15,1.15,8.43,17.99,1.12,8,17,1.13,8.5,22,40,1.16,1.14,8.6,8.02,22,17.08,30,1.38,1.32,3.4,3.27,22,-2.25,1.92,1.88,2.01,1.95,1.12,9.77,22.69
N1,15/09/18,Den Haag,PSV Eindhoven,0,7,A,0,2,A,5,27,2,10,14,9,3,5,2,0,0,0,5.75,5,1.44,6.25,4.75,1.48,5.8,4.75,1.43,6.43,5.02,1.46,5.8,4.8,1.44,6.25,5,1.45,40,6.51,6.04,5.06,4.78,1.49,1.45,30,1.47,1.441,2.95,2.8,22,1.25,1.93,1.88,2.02,1.96,6.42,4.99,1.48
N1,15/09/18,Graafschap,VVV Venlo,1,2,A,0,2,A,14,12,2,6,12,18,6,3,2,2,0,0,2.37,3.4,2.87,2.45,3.3,2.95,2.4,3.35,2.75,2.49,3.48,2.85,2.38,3.5,2.75,2.4,3.5,2.88,40,2.5,2.43,3.5,3.37,2.95,2.82,38,1.87,1.81,2.08,1.98,21,0,1.82,1.78,2.13,2.08,2.59,3.5,2.77
N1,15/09/18,Willem II,Excelsior,2,2,D,0,1,A,21,16,6,4,9,9,13,9,3,3,0,0,1.83,3.6,4.2,1.83,3.6,4.4,1.8,3.6,4.05,1.85,3.68,4.37,1.91,3.6,3.75,1.87,3.75,4,40,1.92,1.85,3.95,3.64,4.4,4.09,38,1.82,1.75,2.17,2.06,21,-0.75,2.21,2.1,1.84,1.75,1.68,4.25,4.96
